,rooms,cbd_distance,postcode,bedroom,bathroom,car,latitude,longitude,property_count,price,dist_to_coast,suburb_freq,seller_g_freq,council_area_freq,type_t,type_u,method_s_p,method_v_b,region_name_eastern_victoria,region_name_northern_metropolitan,region_name_northern_victoria,region_name_south_eastern_metropolitan,region_name_southern_metropolitan,region_name_western_metropolitan,region_name_western_victoria,parking_area_indoor,parking_area_outdoor_stall
79,2,11.4,3163.0,2.0,2.0,1.0,-37.8911,145.0539,7822.0,795000.0,119.19330190851386,171,235,1209,True,False,False,False,False,False,False,False,True,False,False,False,False
80,2,8.9,3162.0,2.0,1.0,1.0,-37.8865,145.0302,2379.0,722500.0,118.44207615775008,13,235,1209,False,True,False,False,False,False,False,False,True,False,False,False,False
81,3,8.1,3161.0,3.0,1.0,0.0,-37.8678,145.027,6923.0,1365000.0,123.5953887661037,42,370,1209,False,False,False,False,False,False,False,False,True,False,False,False,False
82,3,8.1,3161.0,3.0,2.0,2.0,-37.8629,145.019,6923.0,1750000.0,124.32598811079679,42,968,1209,False,False,False,False,False,False,False,False,True,False,False,False,False
84,3,9.3,3162.0,3.0,2.0,2.0,-37.8896,145.0307,5051.0,1577500.0,117.59032570640379,70,1606,1209,False,False,False,False,False,False,False,False,True,False,False,True,False
87,3,13.6,3148.0,3.0,2.0,1.0,-37.8786,145.1015,3582.0,752000.0,126.98885900956975,51,1018,755,True,False,False,False,False,False,False,False,True,False,False,False,False
90,3,3.4,3068.0,3.0,2.0,0.0,-37.7902,144.9894,2954.0,1270000.0,143.4207568910077,90,2201,710,False,False,False,False,False,True,False,False,False,False,False,False,False
92,2,7.8,3058.0,2.0,1.0,1.0,-37.735,144.9589,11204.0,850000.0,157.75816060877685,268,479,1783,False,False,True,False,False,True,False,False,False,False,False,False,True
95,3,7.8,3058.0,2.0,1.0,1.0,-37.7427,144.952,11204.0,784000.0,154.74923157714727,268,2201,1783,False,False,False,False,False,True,False,False,False,False,False,False,False
101,4,13.9,3108.0,4.0,4.0,2.0,-37.7779,145.127,9028.0,1924500.0,159.2649125505615,147,1856,623,False,False,False,False,False,False,False,False,False,False,False,True,False
103,2,13.9,3108.0,2.0,1.0,1.0,-37.7887,145.1438,9028.0,492500.0,157.44425976052548,147,1856,623,False,True,False,False,False,False,False,False,False,False,False,False,False
106,2,8.5,3185.0,2.0,1.0,2.0,-37.8845,144.999,4898.0,900000.0,116.2826283084279,80,235,1209,False,False,False,True,False,False,False,False,True,False,False,False,False
108,1,7.7,3184.0,1.0,1.0,1.0,-37.8761,144.9871,8989.0,520000.0,117.67481087376055,159,96,762,False,True,False,False,False,False,False,False,True,False,False,False,False
109,3,7.7,3184.0,3.0,2.0,2.0,-37.8831,144.9801,8989.0,1350000.0,115.02930834233318,159,1606,762,True,False,False,False,False,False,False,False,True,False,False,True,False
110,3,8.0,3040.0,3.0,2.0,2.0,-37.7585,144.9317,9264.0,1425000.0,148.06444733525495,286,1947,1233,False,False,False,False,False,False,False,False,False,True,False,False,False
111,2,8.0,3040.0,2.0,1.0,1.0,-37.7418,144.8977,9264.0,660000.0,150.2551139152096,286,1856,1233,False,True,False,False,False,False,False,False,False,True,False,False,False
112,2,8.0,3040.0,2.0,1.0,1.0,-37.7575,144.9298,9264.0,550000.0,148.20639103136378,286,2201,1233,False,True,False,True,False,False,False,False,False,True,False,False,True
113,2,9.4,3041.0,2.0,1.0,1.0,-37.7428,144.9086,1308.0,396000.0,150.90213127710047,32,1856,1233,False,True,False,False,False,False,False,False,False,True,False,False,False
114,3,5.8,3078.0,3.0,2.0,0.0,-37.7723,145.0179,2970.0,1250000.0,151.39271884422618,58,1947,1783,False,False,False,True,False,True,False,False,False,False,False,False,False
118,2,3.5,3068.0,2.0,2.0,1.0,-37.7846,144.9785,6244.0,700000.0,144.16792908637444,131,430,1346,False,True,True,False,False,True,False,False,False,False,False,False,False
119,2,3.5,3068.0,2.0,1.0,0.0,-37.7927,144.9796,6244.0,860000.0,141.80006592992584,131,430,1346,False,False,False,False,False,True,False,False,False,False,False,False,False
120,2,3.5,3068.0,2.0,1.0,0.0,-37.7898,144.9794,6244.0,870000.0,142.66368238294876,131,2201,1346,False,False,False,False,False,True,False,False,False,False,False,True,False
121,2,3.5,3068.0,3.0,1.0,0.0,-37.791,144.9809,6244.0,1116000.0,142.43069667735958,131,2201,1346,False,False,False,False,False,True,False,False,False,False,False,False,False
122,4,3.5,3068.0,4.0,2.0,1.0,-37.7797,144.9861,6244.0,1450000.0,146.33165907407798,131,2201,1346,False,False,False,True,False,True,False,False,False,False,False,False,False
123,2,3.5,3068.0,2.0,3.0,0.0,-37.7903,144.9859,6244.0,930000.0,143.08281133787594,131,2201,1346,True,False,False,False,False,True,False,False,False,False,False,False,False
124,2,4.4,3031.0,2.0,1.0,1.0,-37.7835,144.9339,3593.0,865500.0,140.5840638727686,79,2201,1099,False,False,False,False,False,True,False,False,False,False,False,False,False
126,3,6.4,3011.0,3.0,1.0,1.0,-37.7955,144.9063,7570.0,585000.0,134.51010653733243,180,2201,988,True,False,False,False,False,False,False,False,False,True,False,False,False
128,3,9.2,3146.0,3.0,2.0,3.0,-37.854,145.0832,10412.0,1735000.0,132.57436448606612,252,1606,1906,False,False,False,False,False,False,False,False,True,False,False,False,False
130,2,9.2,3146.0,3.0,1.0,2.0,-37.8573,145.077,10412.0,1699000.0,131.05989393899378,252,1947,1906,False,False,False,False,False,False,False,False,True,False,False,False,False
132,4,9.2,3146.0,4.0,3.0,2.0,-37.8628,145.0436,10412.0,3400000.0,126.51475220371437,252,150,1906,False,False,False,True,False,False,False,False,True,False,False,False,True
135,3,13.0,3046.0,3.0,1.0,2.0,-37.6972,144.9431,8870.0,610000.0,168.29479123476307,226,1171,1346,False,False,False,False,False,True,False,False,False,False,False,False,False
140,3,13.6,3043.0,3.0,2.0,2.0,-37.709,144.8925,1071.0,631000.0,160.09693926905163,36,2201,1346,False,False,False,False,False,False,False,False,False,True,False,False,True
141,3,13.6,3043.0,3.0,2.0,1.0,-37.7068,144.8963,1071.0,532000.0,161.1280008322967,36,2201,1346,True,False,False,False,False,False,False,False,False,True,False,False,False
142,3,12.1,3046.0,3.0,1.0,2.0,-37.711,144.9478,2606.0,605000.0,164.32849298330407,80,1606,1346,False,False,False,False,False,True,False,False,False,False,False,False,False
144,3,12.1,3046.0,3.0,1.0,2.0,-37.7076,144.9481,2606.0,685500.0,165.43120968230102,80,479,1346,False,False,True,False,False,True,False,False,False,False,False,False,False
145,2,13.7,3188.0,2.0,1.0,1.0,-37.9355,145.0008,5454.0,895000.0,101.88100575440123,173,1606,979,False,True,False,False,False,False,False,False,True,False,False,True,False
146,2,13.7,3188.0,2.0,1.0,1.0,-37.9419,145.0019,5454.0,587000.0,100.17877215307524,173,1171,979,False,True,False,False,False,False,False,False,True,False,False,False,False
147,4,13.7,3188.0,3.0,3.0,2.0,-37.9419,145.0152,5454.0,2800000.0,101.34505587532296,173,54,979,False,False,False,False,False,False,False,False,True,False,False,False,False
148,2,13.7,3188.0,2.0,1.0,1.0,-37.9387,145.0063,5454.0,720000.0,101.46318695779448,173,1018,979,False,True,False,False,False,False,False,False,True,False,False,False,False
149,4,13.7,3188.0,4.0,3.0,2.0,-37.9389,145.0062,5454.0,3250000.0,101.39821017852249,173,1606,979,False,False,False,False,False,False,False,False,True,False,False,False,False
153,4,4.6,3122.0,4.0,2.0,2.0,-37.8344,145.0422,11308.0,1650000.0,134.77086534335876,239,1947,1906,False,False,False,False,False,False,False,False,True,False,False,False,False
154,2,10.5,3081.0,2.0,1.0,2.0,-37.7501,145.0505,2947.0,815000.0,161.109114439306,100,472,1105,False,False,True,False,False,False,False,False,False,False,False,False,False
156,5,9.4,3081.0,3.0,2.0,2.0,-37.7354,145.0381,2674.0,765000.0,164.59749868254636,95,2201,1105,False,False,False,False,False,False,False,False,False,False,False,True,False
157,3,9.4,3081.0,2.0,1.0,2.0,-37.7456,145.0397,2674.0,691000.0,161.55765224608353,95,34,1105,False,False,False,False,False,False,False,False,False,False,False,False,False
159,2,13.0,3166.0,2.0,1.0,1.0,-37.8931,145.0791,3145.0,1550000.0,120.82792600284019,43,430,755,False,False,False,False,False,False,False,False,True,False,False,False,True
160,2,13.0,3166.0,2.0,1.0,1.0,-37.8967,145.0858,3145.0,516000.0,120.37933432570117,43,1171,755,False,True,False,False,False,False,False,False,True,False,False,False,False
161,2,7.9,3079.0,2.0,1.0,1.0,-37.77,145.0472,5549.0,480000.0,154.6741465514292,131,280,1105,False,True,False,True,False,False,False,False,False,False,False,False,False
163,3,12.8,3033.0,3.0,2.0,2.0,-37.7402,144.8591,5629.0,703000.0,147.35958327221005,176,2201,1080,False,False,False,False,False,False,False,False,False,True,False,True,False
165,3,12.8,3033.0,3.0,1.0,1.0,-37.7441,144.8503,5629.0,650000.0,145.37158814956626,176,1856,1080,False,False,True,False,False,False,False,False,False,True,False,False,False
166,3,4.2,3031.0,2.0,1.0,1.0,-37.7906,144.924,5263.0,785000.0,137.55251034147992,146,2201,1099,False,False,False,False,False,True,False,False,False,False,False,False,False
167,3,4.2,3031.0,3.0,1.0,1.0,-37.7929,144.9197,5263.0,852000.0,136.4761375548442,146,2201,1099,False,False,False,False,False,True,False,False,False,False,False,False,False
168,3,4.2,3031.0,3.0,1.0,1.0,-37.7953,144.9275,5263.0,1037000.0,136.4334453677994,146,78,1099,False,False,False,False,False,True,False,False,False,False,False,True,False
169,3,5.6,3101.0,3.0,1.0,2.0,-37.8102,145.0451,10331.0,1635000.0,142.26415988962688,239,1947,1906,False,False,False,False,False,False,False,False,True,False,False,False,False
176,4,7.5,3102.0,3.0,2.0,2.0,-37.7936,145.0566,2671.0,2490000.0,148.29249610550187,73,968,1906,False,False,False,False,False,False,False,False,True,False,False,True,False
177,2,7.5,3102.0,2.0,1.0,1.0,-37.7971,145.0514,2671.0,620000.0,146.77402394521584,73,2201,1906,False,True,False,False,False,False,False,False,True,False,False,False,False
179,3,9.2,3012.0,3.0,1.0,3.0,-37.7832,144.8745,3873.0,670000.0,135.4556139355786,116,310,988,False,False,False,False,False,False,False,False,False,True,False,False,True
180,3,9.2,3012.0,3.0,2.0,2.0,-37.7773,144.8725,3873.0,615000.0,137.08196251055625,116,329,988,True,False,False,False,False,False,False,False,False,True,False,False,False
181,3,9.2,3012.0,3.0,1.0,1.0,-37.7808,144.8678,3873.0,715000.0,135.59922363443815,116,51,988,False,False,False,False,False,False,False,False,False,True,False,False,False
183,4,9.2,3012.0,4.0,2.0,2.0,-37.7833,144.8817,3873.0,826000.0,136.05783841841114,116,78,988,False,False,False,False,False,False,False,False,False,True,False,True,False
188,3,11.2,3145.0,3.0,1.0,1.0,-37.8726,145.0396,8801.0,1490000.0,123.30129794057278,182,968,666,False,False,False,False,False,False,False,False,True,False,False,False,False
189,3,11.2,3145.0,3.0,2.0,1.0,-37.8833,145.0697,8801.0,1210000.0,122.83466023467582,182,968,666,False,False,False,False,False,False,False,False,True,False,False,False,False
190,4,11.2,3145.0,3.0,2.0,2.0,-37.8747,145.0836,8801.0,1300000.0,126.55174827780066,182,19,666,False,False,False,False,False,False,False,False,True,False,False,False,False
191,4,11.2,3145.0,3.0,2.0,4.0,-37.8779,145.0651,8801.0,1675000.0,123.9975389621073,182,65,666,False,False,False,False,False,False,False,False,True,False,False,False,False
195,3,4.1,3206.0,3.0,1.0,1.0,-37.8499,144.957,2019.0,2600000.0,122.70182613210652,49,65,762,False,False,False,True,False,False,False,False,True,False,False,False,False
197,2,11.8,3127.0,2.0,1.0,1.0,-37.8238,145.1135,2079.0,1320000.0,144.19254056446948,50,26,1906,False,False,True,False,False,False,False,False,False,False,False,False,False
198,4,11.8,3127.0,4.0,2.0,2.0,-37.82,145.1118,2079.0,2850000.0,145.18040731953505,50,1947,1906,False,False,False,False,False,False,False,False,False,False,False,False,False
199,3,6.9,3039.0,3.0,2.0,2.0,-37.7672,144.9209,6232.0,670000.0,144.433689166655,207,2201,1233,False,True,False,False,False,False,False,False,False,True,False,False,True
200,3,14.6,3189.0,3.0,1.0,3.0,-37.9376,145.0474,2555.0,1224000.0,105.37672474208765,87,1018,530,False,False,False,False,False,False,False,False,True,False,False,False,False
201,3,14.6,3189.0,3.0,1.0,3.0,-37.9375,145.0474,2555.0,1020000.0,105.40485260301942,87,1018,530,False,False,False,False,False,False,False,False,True,False,False,False,False
202,3,14.6,3189.0,3.0,2.0,2.0,-37.9428,145.044,2555.0,1000000.0,103.6180608130565,87,158,530,False,False,False,False,False,False,False,False,True,False,False,False,False
203,1,14.6,3189.0,1.0,1.0,1.0,-37.9374,145.0388,2555.0,380500.0,104.67879872828748,87,1171,530,False,True,False,False,False,False,False,False,True,False,False,False,False
204,3,8.4,3015.0,3.0,2.0,2.0,-37.842,144.8902,5498.0,1025000.0,119.16942845030671,180,310,634,False,False,True,False,False,False,False,False,False,True,False,True,False
205,3,8.4,3015.0,2.0,1.0,2.0,-37.8457,144.8651,5498.0,826000.0,115.87184080922312,180,152,634,False,False,False,False,False,False,False,False,False,True,False,False,False
206,3,11.2,3042.0,3.0,3.0,2.0,-37.742,144.8885,2291.0,830000.0,149.38390313916804,103,1856,1233,True,False,False,False,False,False,False,False,False,True,False,False,False
208,3,11.2,3042.0,3.0,2.0,2.0,-37.7353,144.8907,2291.0,780000.0,151.66727806113315,103,57,1233,False,False,False,False,False,False,False,False,False,True,False,False,False
211,4,2.3,3051.0,4.0,3.0,4.0,-37.7958,144.944,6821.0,2920000.0,137.73162275693062,97,2201,1099,False,False,False,False,False,True,False,False,False,False,False,False,False
212,3,2.3,3051.0,2.0,1.0,0.0,-37.7967,144.9472,6821.0,1635000.0,137.74004493353883,97,2201,1099,False,False,False,False,False,True,False,False,False,False,False,True,False
213,1,2.3,3051.0,1.0,1.0,1.0,-37.8044,144.9566,6821.0,491000.0,136.23756272789225,97,2201,1099,False,True,True,False,False,True,False,False,False,False,False,False,False
214,2,5.5,3070.0,2.0,1.0,1.0,-37.7662,145.0096,11364.0,1286000.0,152.53783046847064,274,370,1783,False,False,False,False,False,True,False,False,False,False,False,False,False
215,3,5.5,3070.0,3.0,1.0,1.0,-37.7759,144.9909,11364.0,1200000.0,147.91614501750496,274,2201,1783,False,False,False,False,False,True,False,False,False,False,False,False,False
216,3,5.5,3070.0,3.0,2.0,2.0,-37.7708,145.0054,11364.0,1382500.0,150.75451223048785,274,2201,1783,False,False,False,False,False,True,False,False,False,False,False,False,False
217,2,5.5,3070.0,2.0,2.0,1.0,-37.7679,144.9994,11364.0,630000.0,151.11828324326075,274,370,1783,False,True,False,False,False,True,False,False,False,False,False,False,False
218,4,5.5,3070.0,4.0,2.0,1.0,-37.7805,145.004,11364.0,1600000.0,147.66024870919844,274,1947,1783,False,False,False,True,False,True,False,False,False,False,False,True,False
220,3,11.5,3046.0,3.0,1.0,3.0,-37.718,144.9174,2651.0,892000.0,159.44437854126687,78,2201,1346,False,False,False,False,False,True,False,False,False,False,False,False,False
221,2,11.5,3046.0,2.0,1.0,2.0,-37.7137,144.9167,2651.0,592000.0,160.7395042915715,78,1856,1346,False,False,False,False,False,True,False,False,False,False,False,False,False
225,3,14.7,3167.0,3.0,2.0,1.0,-37.9122,145.0853,3692.0,680000.0,115.89564681965244,82,472,530,True,False,False,False,False,False,False,True,False,False,False,False,False
226,4,2.6,3052.0,4.0,2.0,2.0,-37.7767,144.9403,2309.0,1230000.0,143.2241834216075,36,2201,1099,False,False,False,False,False,True,False,False,False,False,False,False,True
227,3,9.9,3044.0,2.0,1.0,2.0,-37.734,144.9416,7485.0,1120000.0,156.54953017056727,221,479,1346,False,False,False,False,False,True,False,False,False,False,False,False,False
228,3,9.9,3044.0,3.0,1.0,4.0,-37.7156,144.9429,7485.0,770000.0,162.44416137162247,221,2201,1346,False,False,False,False,False,True,False,False,False,False,False,False,False
230,2,3.8,3207.0,2.0,2.0,1.0,-37.8405,144.9319,8648.0,1100000.0,123.27512474706627,196,501,1099,False,True,False,False,False,False,False,False,True,False,False,True,False
237,2,4.5,3181.0,2.0,1.0,1.0,-37.85,145.0085,7717.0,650000.0,127.1940109277978,156,235,666,False,True,False,True,False,False,False,False,True,False,False,False,False
238,1,4.5,3181.0,1.0,1.0,1.0,-37.8486,144.9872,7717.0,342000.0,125.73669663878455,156,1606,666,False,True,False,False,False,False,False,False,True,False,False,False,False
240,2,4.5,3181.0,2.0,1.0,1.0,-37.8503,144.9913,7717.0,950000.0,125.59544566486295,156,1606,666,False,False,False,False,False,False,False,False,True,False,False,False,False
241,2,4.5,3181.0,2.0,1.0,1.0,-37.8511,145.0029,7717.0,781000.0,126.37818045247444,156,23,666,False,True,False,False,False,False,False,False,True,False,False,False,False
242,3,8.8,3072.0,3.0,1.0,2.0,-37.7419,145.0049,14577.0,1250000.0,159.6496794203082,324,265,1783,False,False,False,False,False,True,False,False,False,False,False,False,False
243,3,8.8,3072.0,3.0,1.0,2.0,-37.7332,145.0252,14577.0,855000.0,164.15123832101156,324,1171,1783,False,False,False,True,False,True,False,False,False,False,False,True,False
244,4,8.8,3072.0,4.0,2.0,2.0,-37.7369,144.9905,14577.0,930000.0,159.9431979643327,324,1171,1783,False,False,False,False,False,True,False,False,False,False,False,False,False
245,4,8.8,3072.0,4.0,2.0,1.0,-37.7416,145.016,14577.0,900000.0,160.71913809728397,324,2201,1783,False,False,False,False,False,True,False,False,False,False,False,False,False
249,3,8.8,3072.0,3.0,1.0,2.0,-37.7418,145.0095,14577.0,930000.0,160.08529691472523,324,1856,1783,False,False,True,False,False,True,False,False,False,False,False,False,False
252,3,11.2,3073.0,3.0,1.0,1.0,-37.7019,145.0256,21650.0,475000.0,174.05759464998204,500,1171,1783,False,True,False,False,False,True,False,False,False,False,False,False,False
258,2,11.2,3073.0,2.0,1.0,1.0,-37.708,145.0181,21650.0,415000.0,171.46210628133701,500,1171,1783,False,True,False,False,False,True,False,False,False,False,False,False,False
260,2,2.6,3121.0,2.0,1.0,1.0,-37.8106,144.994,14949.0,937000.0,137.6548732670045,334,501,710,False,False,False,False,False,True,False,False,False,False,False,False,False
261,3,2.6,3121.0,2.0,1.0,0.0,-37.8166,144.9945,14949.0,1260000.0,135.8963551447365,334,501,710,False,False,False,False,False,True,False,False,False,False,False,False,False
263,3,2.6,3121.0,3.0,2.0,1.0,-37.8206,145.0003,14949.0,1236000.0,135.20726682765255,334,1947,710,True,False,False,False,False,True,False,False,False,False,False,True,False
264,2,2.6,3121.0,2.0,2.0,1.0,-37.8195,145.0103,14949.0,540000.0,136.41497115269323,334,46,710,False,True,False,False,False,True,False,False,False,False,False,False,False
