company_names,cars_names,engines,horsepower,total_speed,performance,cars_prices,fuel_types,seats,torque,engine_cc
Mazda,RX-5,1.6L Inline-2 (Wankel),135.0,190.0,8.0,27500.0,Petrol,4.0,210.0,1588.0
Mazda,RX-7 Spirit R,1.3L Inline-2 (Wankel),280.0,250.0,5.5,37500.0,Petrol,2.0,290.0,1308.0
Mazda,Cosmo Sport (110S),1.0L Inline-2 (Wankel),110.0,170.0,10.0,32500.0,Petrol,2.0,150.0,1000.0
Mazda,Eunos 500,2.0L Inline-4,135.0,200.0,9.0,26500.0,Petrol,5.0,170.0,1998.0
Mazda,Eunos Roadster,1.6L Inline-4,116.0,180.0,9.5,16500.0,Petrol,2.0,140.0,1590.0
Mazda,Familia Astina,1.8L Inline-4,135.0,200.0,8.5,21000.0,Petrol,5.0,170.0,1800.0
Mazda,Savanna RX-7,1.3L Inline-2 (Wankel),165.0,230.0,7.5,30000.0,Petrol,2.0,230.0,1308.0
Mazda,Capella Cargo,2.0L Inline-4,115.0,180.0,12.0,20000.0,Petrol,4.0,160.0,2000.0
Mazda,Sentia Hardtop Coupe,2.5L V6,160.0,210.0,8.0,32500.0,Petrol,4.0,220.0,2500.0
Mazda,Biante,2.0L Inline-4,150.0,185.0,10.0,24000.0,Petrol,7.0,200.0,2000.0
Mazda,Premacy Hydrogen RE Hybrid,1.3L Wankel + Electric,200.0,180.0,9.5,42500.0,Hybrid,5.0,260.0,1308.0
Mazda,AZ-Offroad,1.3L Inline-4,85.0,145.0,12.0,16500.0,Petrol,5.0,130.0,1298.0
Mazda,Astina,1.8L Inline-4,140.0,190.0,8.5,22000.0,Petrol,5.0,160.0,1800.0
Mazda,Etude,1.6L Inline-4,105.0,170.0,10.0,15000.0,Petrol,5.0,135.0,1598.0
Mazda,MX-3,1.6L Inline-4,130.0,190.0,8.5,20000.0,Petrol,4.0,140.0,1598.0
Mazda,MX-5 Superlight Concept,1.8L Inline-4,143.0,200.0,7.5,32500.0,Petrol,2.0,160.0,1798.0
Mazda,Premacy Hydrogen RE,1.3L Wankel + Electric,200.0,180.0,9.5,42500.0,Hybrid,5.0,260.0,1308.0
Mazda,Luce Rotary Coupe,1.3L Wankel Rotary Engine,135.0,175.0,12.0,27500.0,Petrol,4.0,180.0,1308.0
Mazda,Millenia S,2.5L V6,200.0,220.0,8.0,32500.0,Petrol,5.0,250.0,2500.0
Toyota,4Runner (6th Gen),2.4L Turbo I4 (i-FORCE MAX Hybrid),326.0,180.0,6.8,50000.0,Hybrid,7.0,630.0,2393.0
Toyota,C-HR+ ,1.8L / 2.0L Hybrid,169.0,180.0,9.2,33000.0,Hybrid,5.0,197.5,1987.0
Toyota,RAV4 (6th Gen),2.5L Hybrid / Plug-in Hybrid,260.5,200.0,7.05,36000.0,Hybrid,5.0,310.5,2487.0
